Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
Q_PFET_NTA415_SOT416	Q_PFET_SMALL		NTA4151PT1G	Standard	Standard	SOT416	3		SM_SOT416_GATE_SOURCE_DRAIN	MOSFET P-CH 20V 0.76A SOT-416							ON Semiconductor	NTA4151PT1G	Digi-Key	NTA4151PT1GOSCT-ND						
Q_PFET_RSC002P03T316	Q_PFET_3PIN_ESD		RSC002P03T316	Standard	Standard	SOT23-3	3		SM_SOT23_GATE_SOURCE_DRAIN	MOSFET P-CH 30V 0.25A SOT23			1.4mOhm	30V	0.25A	0.2W	Rohm	RSC002P03T316	Digi-Key	RSC002P03T316CT-ND						
Q_PFET_SI7129DN	Q_PFET_8PIN		SI7129DN-T1-GE3	Standard	Standard	PowerPAK 1212-8	8		8-DFN-33x33	"Mosfet, P Channel"				30V	35A		Vishay Siliconix	SI7129DN-T1-GE3	Digi-Key	SI7129DN-T1-GE3TR-ND					Flex_SON8_3.3x3.3_DQG8	
Q_PFET_SI7611DN-T1-GE3	Q_PFET_8PIN		SI7611DN-T1-GE3	Standard	Standard	PowerPAK 1212-8	8		8-DFN-33x33	MOSFET P-CH 40V 18A 1212-8			25mOhm	40V	18A	3.7W	Vishay Siliconix	SI7611DN-T1-GE3	Digi-Key	SI7611DN-T1-GE3CT-ND					Flex_SON8_3.3x3.3_DQG8	
Q_PFET_SIS443DN	Q_PFET_8pin		SIS443DN-T1-GE3	Standard	Standard	PowerPAK 1212-8	8		8-DFN-33x33	MOSFET P-CH 40V 35A PPAK 1212-8			11.7mOhm	40V	35A	3.7W	Vishay Siliconix	SIS443DN-T1-GE3	Digi-Key	SIS443DN-T1-GE3CT-ND						
Q_PFET_SUD50P06-15-GE3	Q_PFET_3PIN_134		SUD50P06-15-GE3	Standard	Standard	TO-252 (D-Pak)	3		SM_DPAK	MOSFET P-CH 60V 50A TO-252			15mOhm	60V	50A	2.5W	Vishay Siliconix	SUD50P06-15-GE3	Digi-Key	SUD50P06-15-GE3CT-ND						
Q_PFET_SQS401EN-T1-GE3	Q_PFET_8PIN		SQS401EN-T1-GE3	Standard	Standard	PowerPAK 1212-8	8		8-DFN-33x33	MOSFET P-CH 40V 16A 1212-8			29mOhm	40V	16A	62.5W	Vishay Siliconix	SQS401EN-T1-GE3	Digi-Key	SQS401EN-T1_GE3CT-ND					Flex_SON8_3.3x3.3_DQG8	
Q_PFET_SQ3419	Q_PFET_6PIN		SQ3419EV	Standard	Standard	6-TSOP	6		SM_TSOP-6	MOSFET P-CH 40V 7.4A 6TSOP			58mOhm	40V	6.9A	5W	Vishay Siliconix	SQ3419EV-T1_GE3	Digi-Key	SQ3419EV-T1_GE3CT-ND					flex_TSOP-6	
Q_PFET_SQJ409	Q_PFET_8PIN		SQJ409EP-T1_GE3	Standard	Standard	PowerPAK SO-8L	8		SM_POWERPAK-SO-8L	MOSFET P-CH 40V 60A POWERPAKSO-8				40V	60A		Vishay Siliconix	SQJ409EP-T1_GE3	Digi-Key	SQJ409EP-T1_GE3CT-ND						
Q_PNP_2N3906	Q_PNP		2N3906	Standard	Standard	SOT23-3	3		SM_SOT23_BASE_EMITTER_COLLECTOR	"Transistor, PNP, Switching"							Diodes Inc.	MMBT3906-7-F	Digi-Key	MMBT3906-FDICT-ND						
Q_PNP_MMBT2907AL	Q_PNP		MMBT2907	Standard	Standard	SOT23-3	3		SM_SOT23_BASE_EMITTER_COLLECTOR	"Transistor, PNP, Switching"							On Semiconductor	MMBT2907ALT1G	Digi-Key	MMBT2907ALT1GOSTR-ND						
Q_PNP_MMBT4403L	Q_PNP		MMBT4403L	Standard	Standard	SOT23-3	3		SM_SOT23_BASE_EMITTER_COLLECTOR	"Transistor, PNP, Switching"							On Semiconductor	MMBT4403LT1G	Digi-Key	MMBT4403LT1GOSTR-ND						
Q_2PNP_RN2507	Q_2PNP_RN2507		RN2507	Standard	Standard	SOT-753	5		SM_SOT753	TRANS 2PNP PREBIAS 0.3W SMV				50V	100mA	300mW	Toshiba Semiconductor and Storage	RN2507(TE85L,F)	Digi-Key	RN2507(TE85LF)CT-ND					Flex_SM_SOT753	
Q_2PNP_RN2607	Q_2PNP_RN2607		RN2607	Standard	Standard	SOT-457	5		SM_SOT457	TRANS 2PNP PREBIAS 0.3W SM6				50V	100mA	300mW	Toshiba Semiconductor and Storage	RN2607(TE85L,F)	Digi-Key	RN2607(TE85LF)CT-ND					Flex_SM_SOT457	
