Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
D_SHKY_2A_60V_SOD123	D_SHKY		DB2W60400L	Standard	Standard	SOD-123F	2		SM_DIODE_SOD-123	DIODE SCHOTTKY 60V 2A MINI2 				60V	2A		Panasonic Electronic Components	DB2W60400L 	Digi-Key	P15184TR-ND 	Rohm Semiconductor	RBR2MM60ATR	Digi-Key	RB060MM-60CT-ND		
D_SHKY_2A_100V_MICROSMP	D_SHKY		V2PM10-M3/H 	Standard	Standard	MICROSMP	2		SM_DIODE_MICROSMP	DIODE SCHOTTKY 100V 2A MICROSMP				100V	2A		Vishay Semiconductor Diodes Division	V2PM10-M3/H 	Digi-Key	V2PM10-M3/HGICT-ND	Vishay Semiconductor Diodes Division	V2PM10HM3/H	Digi-Key	V2PM10HM3/HGICT-ND		
D_SHKY_2A_100V_POWERDI123	D_SHKY		DFLS2100-7	Standard	Standard	SOD_123	2		SM_DIODE_POWERDI123	DIODE SCHOTTKY 100V POWERDI123				100V	2A		Diodes Inc.	DFLS2100-7 	Digi-Key	DFLS2100-7DICT-ND 	Diodes Inc.	DFLS2100Q-7 	Digi-Key	DFLS2100Q-7DICT-ND 		
D_SHKY_2A_100V_SL210PL	D_SHKY		SL210PL-TP	Standard	Standard	SOD_123FL	2		SM_DIODE_SOD-123F	DIODE SCHOTTKY 100V 2A SOD123FL				100V	2A		Micro Commercial Co	SL210PL-TP	Digi-Key	SL210PL-TPMSCT-ND						
D_SHKY_3A_20V_SMA	D_SHKY		B320A-13-F	Standard	Standard	SMA	2		SM_DIODE_SMA	"Diode, Schottky"				20V	3A		Diodes Inc.	B320A-13-F	Digi-Key	B320A-FDITR-ND	Bournes	CD214A-B320LF	Digi-Key	CD214A-B320LFCT-ND		
D_SHKY_3A_20V_SMC	D_SHKY		SS32-E3/57T	Standard	Standard	SMC	2		SM_DIODE_SMC	"Diode, Schottky"				20V	3A		Vishay Dale	SS32-E3/57T	Digi-Key	SS32-E3/57TGICT-ND						
D_SHKY_3A_30V_PMEG3030	D_SHKY		PMEG3030	Standard	Standard	SOD-128	2		SM_SOD-128	"Diode,  Schottky"				30V	3A		NXP Semiconductors	"PMEG3030EP,115"	Digi-Key	568-6761-1-ND					Flex_D_SOD128	
D_SHKY_3A_40V_SOD123F	D_SHKY		DB2W40300L	Standard	Standard	SOD123F	2		SM_DIODE_SOD-123	DIODE SCHOTTKY 40V 3A MINI2				40V	3A		Diodes Inc.	DB2W40300L	Digi-Key	DB2W40300LCT-ND						
D_SHKY_3A_40V_SMC	D_SHKY		B340-13-F	Standard	Standard	SMC	2		SM_DIODE_SMC	"Diode, Schottky"				40V	3A		Diodes Inc.	B340-13-F	Digi-Key	B340-FDITR-ND						
D_SHKY_3A_40V_SMA	D_SHKY		B340A-13-F	Standard	Standard	SMA	2		SM_DIODE_SMA	"Diode, Schottky"				40V	3A		Diodes Inc.	B340A-13-F	Digi-Key	B340A-FDICT-ND						
